tenant_id,look_up_code,look_up_type,meaning,description,enable_flag,active_start_date,active_end_date,secure_attribute_1,secure_attribute_2,secure_attribute_3,created_by,creation_date,last_updated_by,last_updated_date
5,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
8,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
8,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
8,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
8,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
8,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
9,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
9,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
9,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
9,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
9,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
10,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
10,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
10,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
10,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
10,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
11,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
11,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
11,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
11,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
11,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
12,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
12,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
12,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
12,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
12,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
13,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
13,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
13,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
13,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
13,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
14,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
14,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
14,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
