tenant_id,look_up_code,look_up_type,meaning,description,enable_flag,active_start_date,active_end_date,secure_attribute_1,secure_attribute_2,secure_attribute_3,created_by,creation_date,last_updated_by,last_updated_date
4,DAILY,CONVERSION_TYPE,Daily,Daily,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,MONTH_END,CONVERSION_TYPE,Month End,Month End,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,MONTH_AVG,CONVERSION_TYPE,Month Avg,Month Average,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,MONTHLY,CALENDAR_TYPE,Monthly,Monthly Calendar,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,CUSTOM,CALENDAR_TYPE,Custom,Custom Calendar,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,PRIMARY,LEDGER_TYPE,Primary,Primary Ledger,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,SECONDARY,LEDGER_TYPE,Secondary,Secondary Ledger,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,CHART_OF_ACCOUNT,MAPPING_TYPES,Chart of Account,Chart of Account,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DAILY,CONVERSION_TYPE,Daily,Daily,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,MONTH_END,CONVERSION_TYPE,Month End,Month End,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,MONTH_AVG,CONVERSION_TYPE,Month Avg,Month Average,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,MONTHLY,CALENDAR_TYPE,Monthly,Monthly Calendar,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,CUSTOM,CALENDAR_TYPE,Custom,Custom Calendar,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,PRIMARY,LEDGER_TYPE,Primary,Primary Ledger,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,SECONDARY,LEDGER_TYPE,Secondary,Secondary Ledger,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,CHART_OF_ACCOUNT,MAPPING_TYPES,Chart of Account,Chart of Account,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DAILY,CONVERSION_TYPE,Daily,Daily,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
