tenant_id,look_up_code,look_up_type,meaning,description,enable_flag,active_start_date,active_end_date,secure_attribute_1,secure_attribute_2,secure_attribute_3,created_by,creation_date,last_updated_by,last_updated_date
5,ANY_OF,APPROVAL_TYPE,Any Of,Any Of,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,ALL_OF,APPROVAL_TYPE,All Of,All Of,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,GROUP,ASSIGN_TYPE,Group,Group,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,USER,ASSIGN_TYPE,User,User,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,APPROVALS,RULE_GROUP_TYPE,Approvals,Approvals,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DATA_VIEWS,MAPPING_TYPES,Data Views,Data Views,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,RECONCILIATION,MAPPING_TYPES,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,ACCOUNTING,MAPPING_TYPES,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,JOURNAL_TEMPLATES,MAPPING_TYPES,Journal Templates,Journal Templates,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,APPROVED,RECONCILIATION,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,REJECTED,RECONCILIATION,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,IN_PROCESS,RECONCILIATION,In Process,In Process,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,APPROVED,ACCOUNTING,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,REJECTED,ACCOUNTING,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,IN_PROCESS,ACCOUNTING,In Process,In Process,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,ROW_IDENTIFIER,TEMPLATE_FUNCTIONS,Row Identifier,reportDetails,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DECODE_DATE,TEMPLATE_FUNCTIONS,Decode Date,decodeDate,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DECODE_TO_STRING,TEMPLATE_FUNCTIONS,Decode to String,decodeToSubString,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DECODE_TO_STRING_WITH_COLON,TEMPLATE_FUNCTIONS,Decode to String with Colon,decodeToSubStringReturningWithColon,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DECODE_NUMBER,TEMPLATE_FUNCTIONS,Decode Number,decodeToReplacingString,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DECODE_AMOUNT,TEMPLATE_FUNCTIONS,Decode Amount,translateAndDecode,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,DECODE_VALUE,TEMPLATE_FUNCTIONS,Decode Value,returnDecodeValue,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,ANY_OF,APPROVAL_TYPE,Any Of,Any Of,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,ALL_OF,APPROVAL_TYPE,All Of,All Of,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,GROUP,ASSIGN_TYPE,Group,Group,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,USER,ASSIGN_TYPE,User,User,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,APPROVALS,RULE_GROUP_TYPE,Approvals,Approvals,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DATA_VIEWS,MAPPING_TYPES,Data Views,Data Views,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,RECONCILIATION,MAPPING_TYPES,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,ACCOUNTING,MAPPING_TYPES,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,JOURNAL_TEMPLATES,MAPPING_TYPES,Journal Templates,Journal Templates,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,APPROVED,RECONCILIATION,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,REJECTED,RECONCILIATION,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,IN_PROCESS,RECONCILIATION,In Process,In Process,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,APPROVED,ACCOUNTING,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,REJECTED,ACCOUNTING,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,IN_PROCESS,ACCOUNTING,In Process,In Process,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,ROW_IDENTIFIER,TEMPLATE_FUNCTIONS,Row Identifier,reportDetails,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DECODE_DATE,TEMPLATE_FUNCTIONS,Decode Date,decodeDate,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DECODE_TO_STRING,TEMPLATE_FUNCTIONS,Decode to String,decodeToSubString,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DECODE_TO_STRING_WITH_COLON,TEMPLATE_FUNCTIONS,Decode to String with Colon,decodeToSubStringReturningWithColon,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DECODE_NUMBER,TEMPLATE_FUNCTIONS,Decode Number,decodeToReplacingString,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DECODE_AMOUNT,TEMPLATE_FUNCTIONS,Decode Amount,translateAndDecode,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,DECODE_VALUE,TEMPLATE_FUNCTIONS,Decode Value,returnDecodeValue,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,ANY_OF,APPROVAL_TYPE,Any Of,Any Of,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,ALL_OF,APPROVAL_TYPE,All Of,All Of,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,GROUP,ASSIGN_TYPE,Group,Group,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,USER,ASSIGN_TYPE,User,User,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,APPROVALS,RULE_GROUP_TYPE,Approvals,Approvals,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,DATA_VIEWS,MAPPING_TYPES,Data Views,Data Views,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,RECONCILIATION,MAPPING_TYPES,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,ACCOUNTING,MAPPING_TYPES,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,JOURNAL_TEMPLATES,MAPPING_TYPES,Journal Templates,Journal Templates,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,APPROVED,RECONCILIATION,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,REJECTED,RECONCILIATION,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,IN_PROCESS,RECONCILIATION,In Process,In Process,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,APPROVED,ACCOUNTING,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,REJECTED,ACCOUNTING,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,IN_PROCESS,ACCOUNTING,In Process,In Process,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,ROW_IDENTIFIER,TEMPLATE_FUNCTIONS,Row Identifier,reportDetails,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,DECODE_DATE,TEMPLATE_FUNCTIONS,Decode Date,decodeDate,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,DECODE_TO_STRING,TEMPLATE_FUNCTIONS,Decode to String,decodeToSubString,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
7,DECODE_TO_STRING_WITH_COLON,TEMPLATE_FUNCTIONS,Decode to String with Colon,decodeToSubStringReturningWithColon,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
