tenant_id,look_up_code,look_up_type,meaning,description,enable_flag,active_start_date,active_end_date,secure_attribute_1,secure_attribute_2,secure_attribute_3,created_by,creation_date,last_updated_by,last_updated_date
4,CONCAT,TEMPLATE_FUNCTIONS,Concat,"concat([column1],[column2],...)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,SUBSTR,TEMPLATE_FUNCTIONS,SubStr,"SUBSTRING([column1],pos,len)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,CONCAT_WS,TEMPLATE_FUNCTIONS,Concat Ws,"concat_ws('separator',[column1],[column2])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,REPLACE,TEMPLATE_FUNCTIONS,Replace,"REPLACE([column1],'find_string','replace_with')",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,TRIM,TEMPLATE_FUNCTIONS,Trim,"trim(LEADING or TRAILING or BOTH character From [column1])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
4,MIDSEARCH,TEMPLATE_FUNCTIONS,midsearch,"SUBSTR([column1],(LOCATE('char',[column1]) + LENGTH('char')),position)",TRUE,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,CONCAT,TEMPLATE_FUNCTIONS,Concat,"concat([column1],[column2],...)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,SUBSTR,TEMPLATE_FUNCTIONS,SubStr,"SUBSTRING([column1],pos,len)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,CONCAT_WS,TEMPLATE_FUNCTIONS,Concat Ws,"concat_ws('separator',[column1],[column2])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,REPLACE,TEMPLATE_FUNCTIONS,Replace,"REPLACE([column1],'find_string','replace_with')",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,TRIM,TEMPLATE_FUNCTIONS,Trim,"trim(LEADING or TRAILING or BOTH character From [column1])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
5,MIDSEARCH,TEMPLATE_FUNCTIONS,midsearch,"SUBSTR([column1],(LOCATE('char',[column1]) + LENGTH('char')),position)",TRUE,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,CONCAT,TEMPLATE_FUNCTIONS,Concat,"concat([column1],[column2],...)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
6,SUBSTR,TEMPLATE_FUNCTIONS,SubStr,"SUBSTRING([column1],pos,len)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
