tenant_id,look_up_type,meaning,description,enable_flag,active_start_date,active_end_date,validation_type,created_by,creation_date,last_updated_by,last_updated_date
4,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
4,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
5,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
5,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
6,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
6,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
7,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
7,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
8,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
8,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
9,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
9,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
10,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
10,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
11,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
11,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
12,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
12,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
13,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
13,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
14,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
14,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
15,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
15,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
16,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
16,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
17,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
17,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
18,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
18,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
19,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
19,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
20,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
20,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
21,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
21,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
22,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
22,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
23,CALENDAR_TYPE,Calendar Type,Calendar Type,true,2016-01-01,2020-01-01,null,null,null,null,null
23,LEDGER_TYPE,Ledger Type,Ledger Type,true,2016-01-01,2020-01-01,null,null,null,null,null
