program_name,parameter_name,start_date,end_date,entity_name,entity_column,bind_value,mandatory,dependency,request_form
DataExtraction,SourceProfileName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_source_profiles,source_profile_name,id,null,null,TRUE
DataExtraction,TemplateName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_sourceprofile_filedetails,template_name,template_id,null,source_profile_id,TRUE
DataExtraction,TransformImmediately,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
DataTransformation,SourceProfileName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_source_profiles,source_profile_name,id,null,null,TRUE
DataTransformation,TemplateName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_sourceprofile_filedetails,template_name,template_id,null,source_profile_id,TRUE
DataTransformation,Batch Header Id,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_batch_header,batch_name,id,null,null,FALSE
DataTransformation,Src File Inb Id,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_source_file_inb_history,file_name,id,null,null,FALSE
Reconciliation,RuleGroupName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_rec_rule_groups,name,id_for_display,TRUE,null,TRUE
Reconciliation,RuleName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_rec_rule_group_details,rule_name,rule_id,null,rule_group_id,TRUE
Reconciliation,Filter View,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_data_views,data_view_disp_name,id_for_display,null,null,FALSE
Reconciliation,Filter Column,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_data_view_columns,column_name,id,null,data_view_id,FALSE
Reconciliation,Filter Values,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Reconciliation,Date Range,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Accounting,RuleGroupName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_acc_rule_groups,name,id_for_display,TRUE,null,TRUE
Accounting,RuleName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_rule_group_details,rule_name,rule_id,null,rule_group_id,TRUE
Accounting,Filter View,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_data_views,data_view_disp_name,id_for_display,null,null,FALSE
Accounting,Filter Column,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_data_view_columns,column_name,id,null,data_view_id,FALSE
Accounting,Filter Values,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Accounting,Date Range,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Journals,Journal Template Name,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_template_details,template_name,id_for_display,null,null,TRUE
Approvals,Rule Group Id,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_rule_group,name,id,TRUE,null,TRUE
Approvals,RuleName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_rule_group_details,rule_name,id,null,null,TRUE
Approvals,Recon Job Reference,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_recon_job_refereces,recon_job_reference,recon_job_reference,null,null,FALSE
Reporting,Report Id,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Reporting,Parameters,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Reporting,Page Number,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Reporting,Page Size,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Reporting,View Type,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,null,null,null,null,null,FALSE
Recon Approvals,Rule Group Id,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_recon_app_rule_groups,ap_name,ap_id,null,null,TRUE
Recon Approvals,RuleName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_app_rule_group_details,rule_name,id,null,rule_group_id,FALSE
Recon Approvals,Recon Job Reference,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_recon_job_refereces,recon_job_reference,recon_job_reference,null,ap_id,TRUE
Accounting Approvals,Rule Group Id,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_acc_app_rule_groups,ap_name,ap_id,null,null,TRUE
Accounting Approvals,RuleName,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_app_rule_group_details,rule_name,id,null,rule_group_id,FALSE
Accounting Approvals,Recon Job Reference,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_acc_job_refereces,job_reference,job_reference,null,ap_id,TRUE
DashboardAppModuleSummary,Module Type,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,v_rule_purpose,rule_purpose,rule_purpose,null,null,TRUE
DashboardAppModuleSummary,Rule Group Name,2017-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,t_rule_group,name,id_for_display,null,rule_purpose,TRUE
